dna_ID,PC1,PC2,Ethnicity,Region
mg34,-0.0129,0.051,Georgian,modern
NorthOssetia14,6.00E-04,0.0502,Ossetian,modern
ch3,-0.0018,0.0468,Chechen,modern
abh154,-0.0159,0.0517,Abkhasian,modern
armenia139,-0.025,0.0242,Armenian,modern
lez36,-0.0024,0.0458,Lezgin,modern
kumyks40,-0.0074,0.0369,Kumyk,modern
kumyks94,-0.0046,0.047,Kumyk,modern
bal50,5.00E-04,0.0472,Balkar,modern
mg40,-0.0139,0.0521,Georgian,modern
NorthOssetia17,-0.008,0.051,Ossetian,modern
ch113,-6.00E-04,0.0512,Chechen,modern
ch31,0.0017,0.0453,Chechen,modern
abh24,-0.0182,0.0482,Abkhasian,modern
armenia162,-0.0216,0.0322,Armenian,modern
lez37,-2.00E-04,0.0498,Lezgin,modern
kumyks41,0.0013,0.046,Kumyk,modern
kumyks97,0.001,0.0383,Kumyk,modern
bel43s,0.0467,8.00E-04,Belarusian,modern
UkrBel618,0.0451,0.0045,Ukrainian,modern
UkrLv240,0.0341,0.0033,Ukrainian,modern
Est393,0.0527,-8.00E-04,Estonian,modern
Mordovians27,0.0429,0.0154,Mordovian,modern
bel30s,0.0462,-0.0025,Belarusian,modern
UkrBel620,0.0414,-5.00E-04,Ukrainian,modern
Est375,0.0535,1.00E-04,Estonian,modern
Est380,0.0539,2.00E-04,Estonian,modern
Mordovians28,0.0439,0.0102,Mordovian,modern
bel72c,0.0424,0.0025,Belarusian,modern
UkrBel622,0.0408,0.0054,Ukrainian,modern
Est391,0.055,-6.00E-04,Estonian,modern
Est377,0.0549,-5.00E-04,Estonian,modern
Mordovians30,0.0407,0.0188,Mordovian,modern
bel93c,0.0468,5.00E-04,Belarusian,modern
UkrBel733,0.0434,4.00E-04,Ukrainian,modern
Est372,0.0541,1.00E-04,Estonian,modern
Mordovians4,0.0411,0.0097,Mordovian,modern
Mordovians31,0.0433,0.0131,Mordovian,modern
bel110c,0.0441,0.0015,Belarusian,modern
UkrBel736,0.0401,0.007,Ukrainian,modern
Est358,0.0532,-0.0012,Estonian,modern
Mordovians17,0.0433,0.0116,Mordovian,modern
Mordovians1,0.0409,0.0137,Mordovian,modern
bel8s,0.04,0,Belarusian,modern
belarusian23vp,0.0432,0.0052,Belarusian,modern
Est400,0.0479,0.0028,Estonian,modern
Mordovians22,0.0436,0.0124,Mordovian,modern
bel23s,0.0492,8.00E-04,Belarusian,modern
