site,culture,region,ID,species,n. of samples,d13C,unc,d15N,unc,%C,%N,C:N,reference,comment
Halberstadt ,LBK,North Central,H animal 10 ,cattle ,1.00,-21.10,,5.7,,37.40,13.20,3.30,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 1 ,cattle ,1.00,-20.70,,7.7,,30.80,11.00,3.30,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 2 ,cattle ,1.00,-21.10,,6.2,,40.60,14.90,3.20,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 3 ,cattle ,1.00,-21.70,,6.3,,26.50,9.40,3.30,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 4 ,cattle ,1.00,-21.70,,7.7,,33.20,11.80,3.30,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 5 ,cattle ,1.00,-22.20,,4.5,,37.90,13.70,3.20,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 6 ,cattle ,1.00,-23.20,,8.2,,24.00,8.60,3.30,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 7 ,cattle ,1.00,-21.30,,8.7,,36.50,13.10,3.20,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 8 ,cattle ,1.00,-21.80,,6.6,,25.40,9.10,3.20,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 9 ,cattle ,1.00,-21.00,,6.0,,34.00,12.00,3.30,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 10 ,goat/sheep ,1.00,-20.60,,7.9,,38.40,13.70,3.30,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 11 ,sheep 26101 ,1.00,-20.20,,7.3,,33.40,11.90,3.30,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 12 ,goat/sheep ,1.00,-20.60,,6.2,,38.20,14.00,3.20,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 13 ,goat/sheep ,1.00,-20.20,,6.4,,38.50,14.00,3.20,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 19 ,deer ,1.00,-21.40,,5.1,,29.00,10.30,3.30,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 20 ,aurochs? ,1.00,-20.80,,6.1,,39.80,14.60,3.20,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 21 ,goat/sheep ,1.00,-20.60,,6.6,,44.10,16.10,3.20,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 22 ,cattle ,1.00,-21.60,,7.4,,38.30,12.40,3.60,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 23 ,aurochs? ,1.00,-20.40,,6.1,,42.10,15.20,3.20,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 24 ,cattle ,1.00,-22.50,,8.3,,41.30,14.70,3.30,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 26 ,goat/sheep ,1.00,-20.40,,7.1,,41.10,14.40,3.30,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 27 ,aurochs? ,1.00,-20.40,,6.5,,41.00,14.50,3.30,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 28 ,sheep ,1.00,-19.90,,7.5,,42.20,15.30,3.20,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 30 ,goat/sheep ,1.00,-20.50,,6.7,,40.70,14.50,3.30,Oelze et al. 2010,
Karsdorf ,LBK,North Central,K animal 31 ,cattle ,1.00,-20.60,,7.4,,40.70,14.60,3.30,Oelze et al. 2010,
Mean N,,,,,,-20.93,,6.9,,,,,,
Mean S,,,,,,-20.79,,8.6,,,,,,
